bird_scientific,bird_details,bird_population
Branta bernicla,F 3,3
Branta ruficollis,T**,7
Branta canadensis,Hs+f 3,3
Branta leucopsis,Hf 4 / F 3,3
Anser rossii,[T***],8
Anser caerulescens,[T**],7
Anser anser,Hf 3,3
Anser fabalis,Hf 4 / F 3 / V 3-4,3
Anser brachyrhynchus,F 4,4
Anser albifrons,F 4,4
Anser erythropus,Hf 5,5
Cygnus olor,Hs+f 4,4
Cygnus columbianus,F 4,4
Cygnus cygnus,Hf 4 / F / V,4
Alopochen aegyptiaca,[T**],7
Tadorna tadorna,Hf 3-4 / (V),4
Tadorna ferruginea,T**,7
Anas formosa,[T***],8
Anas querquedula,Hf 4,4
Anas discors,T***,8
Anas clypeata,Hf 4,4
Anas strepera,Hf 4 / V,4
Anas falcata,[T***],8
Anas penelope,Hf 3 / (V),3
Anas americana,T**,7
Anas platyrhynchos,Hf (s) 2-3 / V,3
Anas rubripes,T***,8
Anas acuta,Hf 4 / (V),4
Anas crecca,Hf (V) 3,3
Anas carolinensis,T*,6
Netta rufina,T**,7
Aythya ferina,Hf 4 / F 3 / (V),3
Aythya nyroca,T**,7
Aythya collaris,T**,7
Aythya fuligula,Hf 3 / V 3,3
Aythya marila,Hf 4,4
Aythya affinis,T***,8
Polysticta stelleri,T* / V 5,5
Somateria spectabilis,T* / F 5,5
Somateria mollissima,Hf 2 / F / V,2
Histrionicus histrionicus,T***,8
Melanitta perspicillata,T**,7
Melanitta fusca,Hf 3 / F / (V),3
Melanitta deglandi,-,nil
Melanitta stejnegeri,-,nil
Melanitta nigra,Hf 4 / F 3 / (V),3
Melanitta americana,T***,8
Clangula hyemalis,Hf 4 / V 2,2
Bucephala albeola,[T***],8
Bucephala clangula,Hs+f 3 / V,3
Mergellus albellus,Hf 4-5,4
Lophodytes cucullatus,[T**],7
Mergus merganser,Hf 3 / V,3
Mergus serrator,Hf 3 / V,3
Oxyura jamaicensis,[T**],7
Oxyura leucocephala,-,nil
Tetrastes bonasia,Hs 3,3
Tetrao urogallus,Hs 3,3
Lyrurus tetrix,Hs 2,2
Lagopus muta,Hs 3,3
Lagopus lagopus,Hs 2-3,2
Perdix perdix,Hs 4,4
Coturnix coturnix,T*,6
Phasianus colchicus,Hs 3,3
Caprimulgus europaeus,Hf 4,4
Caprimulgus aegyptius,T***,8
Hirundapus caudacutus,T***,8
Chaetura pelagica,T***,8
Apus melba,T***,8
Apus apus,Hf 2,2
Apus pallidus,T***,8
Apus pacificus,T***,8
Apus affinis,T***,8
Apus caffer,-,nil
Otis tarda,T***,8
Chlamydotis macqueenii,T***,8
Tetrax tetrax,T***,8
Clamator glandarius,T***,8
Cuculus canorus,Hf 3,3
Syrrhaptes paradoxus,T***,8
Columba livia,[Hs 2],2
Columba oenas,Hf 3,3
Columba palumbus,Hf 2 / V,2
Streptopelia turtur,T*,6
Streptopelia orientalis,T**,7
Streptopelia decaocto,Hs (f) 4,4
Zenaida macroura,[T***],8
Rallus aquaticus,Hf 3-4 / (V),4
Crex crex,Hf 4,4
Porzana carolina,T***,8
Porzana porzana,Hf 4,4
Gallinula chloropus,Hf 3-4 / (V),4
Fulica atra,Hs+f 3,3
Zapornia pusilla,T***,8
Zapornia parva,T**,7
Grus canadensis,-,nil
Grus virgo,T***,8
Grus grus,Hf 3,3
Tachybaptus ruficollis,Hf 4 (V),4
Podiceps grisegena,Hf 4,4
Podiceps cristatus,Hf 3 / (V),3
Podiceps auritus,Hf 4 / (V),4
Podiceps nigricollis,Hf 5,5
Phoenicopterus roseus,[T**],7
Burhinus oedicnemus,T***,8
Haematopus ostralegus,Hf 3,3
Himantopus himantopus,T***,8
Recurvirostra avosetta,Hf 4,4
Vanellus vanellus,Hf 2,2
Vanellus cinereus,???,nil
Vanellus gregarius,T***,8
Vanellus leucurus,T***,8
Pluvialis apricaria,Hf 3,3
Pluvialis fulva,T**,7
Pluvialis dominica,T***,8
Pluvialis squatarola,F 3-4,4
Charadrius hiaticula,Hf 3,3
Charadrius dubius,Hf 4,4
Charadrius alexandrinus,T*,6
Charadrius mongolus,T***,8
Charadrius leschenaultii,T***,8
Charadrius asiaticus,Hf 4,4
Charadrius morinellus,Hf 4,4
Bartramia longicauda,T***,8
Numenius phaeopus,Hf 4,4
Numenius minutus,T***,8
Numenius arquata,Hf 3,3
Limosa lapponica,Hf 5 / F 4,4
Limosa limosa,Hf 4,4
Limosa haemastica,T***,8
Arenaria interpres,Hf 4,4
Calidris tenuirostris,T***,8
Calidris canutus,F 3-4,4
Calidris pugnax,Hf 3,3
Calidris falcinellus,Hf 4 / F 4-5,4
Calidris acuminata,T***,8
Calidris himantopus,T***,8
Calidris ferruginea,F 4,4
Calidris temminckii,Hf 4,4
Calidris subminuta,T***,8
Calidris ruficollis,T***,8
Calidris alba,F 4,4
Calidris alpina,Hf 3,3
Calidris maritima,Hf 4 / V,4
Calidris bairdii,T***,8
Calidris minuta,F 4,4
Calidris fuscicollis,T**,7
Calidris subruficollis,T**,7
Calidris melanotos,T**,7
Calidris pusilla,T***,8
Calidris mauri,T***,8
Limnodromus scolopaceus,T***,8
Limnodromus griseus,-,nil
Scolopax rusticola,Hf 3,3
Lymnocryptes minimus,Hf 4,4
Gallinago media,Hf 4,4
Gallinago gallinago,Hf 2 / (V),2
Gallinago delicata,-,nil
Xenus cinereus,T**,7
Phalaropus tricolor,T***,8
Phalaropus lobatus,Hf 3,3
Phalaropus fulicarius,T**,7
Actitis hypoleucos,Hf 3,3
Actitis macularius,T***,8
Tringa ochropus,Hf 3,3
Tringa solitaria,T***,8
Tringa brevipes,T****,9
Tringa flavipes,T***,8
Tringa totanus,Hf 3 / (V),3
Tringa stagnatilis,T*,6
Tringa glareola,Hf 3,3
Tringa erythropus,Hf 4,4
Tringa nebularia,Hf 3,3
Tringa melanoleuca,T***,8
Cursorius cursor,T***,8
Glareola pratincola,T***,8
Glareola maldivarum,T***,8
Glareola nordmanni,T***,8
Rissa tridactyla,Hf 5 / F 4 / V 3-5,4
Pagophila eburnea,T***,8
Xema sabini,T*,6
Chroicocephalus genei,T***,8
Chroicocephalus philadelphia,T***,8
Chroicocephalus ridibundus,Hf 2 / (V),2
Hydrocoloeus minutus,Hf 4-5,4
Rhodostethia rosea,T***,8
Leucophaeus atricilla,T***,8
Leucophaeus pipixcan,T***,8
Ichthyaetus melanocephalus,T*,6
Ichthyaetus ichthyaetus,T***,8
Larus canus,Hf (s) 2,2
Larus delawarensis,T***,8
Larus marinus,Hs+f 4,4
Larus hyperboreus,(V 5),5
Larus glaucoides,T**,7
Larus argentatus,Hs+f 3,3
Larus cachinnans,F 4-5 / V 5,5
Larus michahellis,F / V 5,5
Larus fuscus,Hf 3,3
Gelochelidon nilotica,T***,8
Hydroprogne caspia,Hf 4,4
Thalasseus sandvicensis,Hf 4,4
Sternula albifrons,Hf 4,4
Onychoprion anaethetus,T***,8
Onychoprion fuscatus,T***,8
Sterna dougallii,T***,8
Sterna hirundo,Hf 3,3
Sterna paradisaea,Hf 3,3
Sterna forsteri,T***,8
Chlidonias hybrida,T***,8
Chlidonias leucopterus,T*,6
Chlidonias niger,Hf 4,4
Stercorarius skua,T*,6
Stercorarius pomarinus,F 4-5,5
Stercorarius parasiticus,Hf 4,4
Stercorarius longicaudus,Hf 3-4,4
